ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230029502,172.655,47.507,0.03299,1237660636537356432,172.639,47.512,0.889
20230029510,146.164,47.513,0.02596,1237657589775532589,146.163,47.515,0.948
20230029518,226.271,47.518,0.03709,1237659132748562493,226.269,47.520,0.982
20230029533,229.939,47.526,0.05225,1237659162270171439,229.935,47.521,0.971
20230029523,175.256,47.523,0.02503,1237661358078427320,175.252,47.525,0.999
20230029531,139.435,47.525,0.01423,1237657770706272818,139.434,47.525,0.993
20230029542,150.501,47.543,0.06829,1237657630056251987,150.506,47.541,0.933
20230029569,37.863,47.563,0.06870,1237660979040813783,37.886,47.552,0.955
20230029575,53.149,47.569,0.01693,1237670459661748186,53.160,47.557,0.982
20230029556,169.833,47.555,0.03416,1237661358613725350,169.844,47.557,0.975
20230029570,54.778,47.565,0.01939,1237670458588267096,54.811,47.566,0.509
20230029574,182.561,47.569,0.00136,1237661357543653518,182.566,47.574,0.970
20230062613,158.264,47.580,0.03228,1237658205577543765,158.217,47.577,0.943
20230029576,169.725,47.572,0.02044,1237660637073441082,169.736,47.577,0.725
20230029581,55.089,47.577,0.00359,1237670960561392816,55.085,47.581,0.954
20230029572,148.007,47.568,0.06864,1237657858211381395,148.020,47.582,0.859
20230029592,183.767,47.592,0.02530,1237661357544046777,183.771,47.591,0.992
20230029624,41.218,47.619,0.02650,1237661057962475665,41.249,47.598,0.959
20230029615,113.669,47.609,0.06352,1237663918410826445,113.667,47.611,0.974
20230029595,53.616,47.594,0.01748,1237670961634870732,53.637,47.615,0.992
20230055992,189.754,47.611,0.02429,1237661434846642235,189.750,47.616,0.987
20230029601,172.834,47.600,0.01542,1237660636537422105,172.844,47.618,0.896
20230029616,54.921,47.609,0.01949,1237670458588334064,54.926,47.625,0.848
